Run,Age_months,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mouse_model,Organism,Platform,ReleaseDate,sample_ID,Sample Name,source_name,SRA Study,tissue
SRR8512428,12,RNA-Seq,250,3107411750,PRJNA518104,SAMN10853144,1386838726,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316059,J20,GSM3586158,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J22,GSM3586158,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512429,12,RNA-Seq,250,2284128500,PRJNA518104,SAMN10853144,1597332345,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316059,J20,GSM3586158,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J22,GSM3586158,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512430,6,RNA-Seq,250,3102091250,PRJNA518104,SAMN10853143,1381384095,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316060,Wild Type,GSM3586159,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J23,GSM3586159,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512431,6,RNA-Seq,250,2306901750,PRJNA518104,SAMN10853143,1607415832,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316060,Wild Type,GSM3586159,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J23,GSM3586159,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512432,6,RNA-Seq,250,3445927500,PRJNA518104,SAMN10853142,1524811975,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316061,J20,GSM3586160,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J24,GSM3586160,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512433,6,RNA-Seq,250,2263601000,PRJNA518104,SAMN10853142,1574396849,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316061,J20,GSM3586160,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J24,GSM3586160,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512434,2,RNA-Seq,250,4087294000,PRJNA518104,SAMN10852635,1729556547,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316053,Wild Type,GSM3586040,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,K17,GSM3586040,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512435,2,RNA-Seq,250,4489097750,PRJNA518104,SAMN10852634,1936445182,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316054,rTg4510,GSM3586041,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,K18,GSM3586041,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512436,4,RNA-Seq,250,3993554750,PRJNA518104,SAMN10852633,1686621779,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315941,Wild Type,GSM3586042,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,K19,GSM3586042,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512437,4,RNA-Seq,250,4072970250,PRJNA518104,SAMN10852632,1745980172,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315942,rTg4510,GSM3586043,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,K20,GSM3586043,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512438,6,RNA-Seq,250,4339262000,PRJNA518104,SAMN10852631,1865740308,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315943,Wild Type,GSM3586044,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,K21,GSM3586044,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512439,8,RNA-Seq,250,4759341000,PRJNA518104,SAMN10852630,2009888062,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315944,Wild Type,GSM3586045,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,K23,GSM3586045,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512440,8,RNA-Seq,250,5020046250,PRJNA518104,SAMN10852629,2149343649,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315945,rTg4510,GSM3586046,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,K24,GSM3586046,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512441,4,RNA-Seq,250,4948811500,PRJNA518104,SAMN10852628,2090296530,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5315946,Wild Type,GSM3586047,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,rTg4510,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,L17,GSM3586047,Entorhinal cortex,SRP183070,Entorhinal cortex
