"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006887","BP","GO:0006887","exocytosis","102/3047","359/15222",7.19872722416882e-05,7.19872722416882e-05,0.00804639180364276,"Fer/Itgb2/Septin1/Adora3/Fmr1/Il4/Snapin/Lgals9/Calm1/Tmem79/Spi1/Braf/Ykt6/Rab8a/Hck/Grik5/Rab3b/Ppfia3/Lin7b/Ralb/Gab2/Stxbp2/Rab11a/Syt5/Hmox1/Prkaca/Kit/Bloc1s6/Napa/Snf8/Hap1/Syngr3/Stx1a/Bcl2l1/Rab25/Rala/Ccl8/Syn2/Bcr/Snap47/Vps4b/Exoc3l2/Git1/Tmem167/Tsg101/Gata2/Ptgds/Cltrn/Steap2/Sdc4/Cyth1/Cacnb4/Abr/Rab5a/Cadps2/Adora2b/Crhr1/Rab3d/Atp6ap1/Scrn1/Calm3/Gipc1/Stxbp5/Mical1/Lin7a/Psen1/Washc3/Plek/Rab21/Adora2a/Adcy1/Myo1g/Septin4/Llgl1/Sdc1/Rab10/Llgl2/P2rx1/Exoc7/Pld2/Rph3al/Doc2b/Cacna1g/Tac4/Fbxl20/Vamp2/Myh10/Rab15/Trim9/Chga/Tmed10/Exoc3l4/Tnfaip2/Exoc2/Syk/Drd1/Nkd2/Glrx/F2rl1/Crhbp/Scamp1/Rab3c",102
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","101/3047","355/15222",7.35887512757994e-05,7.35887512757994e-05,0.00808830748671725,"Lck/Loxl3/Aire/Tcf7/Bcl11a/Il4/Mmp14/Lgals9/Tbx21/Itfg2/Tcirg1/Fbxo7/Cd3g/Foxn1/Spi1/Stat6/Braf/Axl/Tgfb1/Shh/Kdelr1/Jag2/Clptm1/Relb/Stk11/Cd79a/Bax/Il7r/Stat3/Stat5a/Dnaja3/Psap/Ptpn6/Il12b/Hdac9/Ly9/Hspb1/Cd44/Prdx2/Kit/Apc/Ihh/Pknox1/Ctnnb1/Rhoa/Zmiz1/Spib/Pou2f2/Ncaph2/Hdac5/Tusc2/St3gal1/Mertk/Dll1/Dnajb9/Hmgb3/Slamf6/Slamf1/Cd83/Srf/Gata3/Slc25a5/Nkap/Cd46/Ada/Ikzf3/Mfng/Ncor1/Ikzf1/Irf1/Ahr/Traf3ip2/Tnfaip3/Myb/Vsir/Dock2/Tcf3/Ap3d1/Itk/Patz1/Polm/Xbp1/Hs1bp3/Rsad2/Id2/Mink1/Kat2a/Stat5b/Tshr/Ppp2r3c/Zfp36l1/Yy1/Hsp90aa1/Gli3/Irf4/Gadd45g/Syk/Ctsl/Prelid1/Xrcc4/Ap3b1",101
"GO:0031253","CC","GO:0031253","cell projection membrane","84/3047","285/15222",7.79671000129404e-05,7.79671000129404e-05,0.00842905749061383,"Ngfr/Gna12/Pemt/Itga5/Oprm1/Car4/Hip1r/Mfsd10/Slc26a3/Gabrg1/Slc19a1/Itga3/Smo/Folr1/Rac1/Aif1l/Ift46/Cd36/Pex19/Akt2/Sgce/Aqp1/Cd44/Slc1a2/Insr/Cnga2/Apc/Inpp5k/Eps8l1/Arpc2/Slc34a3/Slc5a6/Ctnnb1/Rhoa/Gabra1/Slc5a1/Trpv4/Entpd2/Map2/Cltrn/Ace2/Plekho1/Eps8/Cacna1d/Plcg1/Mpp2/Slc12a5/Myo1c/Mapt/Wwc1/Slc22a5/Cdc37/Pcmt1/Utrn/Atp2b1/Slc5a8/Plek/Egfr/Apc2/Adora2a/Appl2/Sptbn1/Hcn2/Gabra6/Gabrg2/Npc1l1/Gria1/Gna13/Slc26a4/Adcy3/Sh3yl1/Ace/Itgb3/Slc9a3r1/Pld2/Slc46a1/Gucy2e/Akap5/Hsp90aa1/Amn/Drd1/Slc34a1/Slc28a3/Slc6a19",84
"GO:0031625","MF","GO:0031625","ubiquitin protein ligase binding","82/3047","277/15222",8.0040041233956e-05,8.0040041233956e-05,0.00845023868234922,"Ngfr/Axin2/Slc22a18/Dbt/Dlg3/Ckb/Smg5/Tubb5/Fbxo7/Daxx/Snx9/Hltf/Prkar2b/Calr/Fancl/Ikbkg/Cul3/Bid/Ralb/Pias4/Prkacb/Jkamp/Polr2a/Prkaca/Trim28/Apc/Usp19/Hspa1l/Tgfbr1/Dio2/Ubc/Rala/Myod1/Nedd8/Faf1/Ndufs2/Cacybp/Tsg101/Hspa8/Sqstm1/Ube2a/Slc25a5/Brca1/Nlk/Traf4/Cd40/Crk/Erbb3/Trim37/Gabarap/Arrb1/H13/Ubb/Ube2d1/Egfr/Mdm2/Ube2b/Patz1/Rtn4/Rps27a/Xbp1/Trib2/Smc6/Prkar1a/Rffl/Sumo2/Ube2g1/Ywhae/Per1/Stx8/Nfkbia/Hif1a/Atxn3/Hsp90aa1/Traf3/Ripk1/Syk/Caml/Smad5/Nkd2/Slf1/Ankra2",82
"GO:0017022","MF","GO:0017022","myosin binding","27/3047","66/15222",8.07257438369674e-05,8.07257438369674e-05,0.00845023868234922,"Mybpc3/Axl/Rab8a/Rab3b/Rab11a/Nphs1/Hap1/Stx1a/Rhoa/Rab25/Rala/Taok1/Shroom1/Rab3d/Gipc1/Stxbp5/Mybpc1/Npc1l1/Gria1/Myo19/Llgl1/Rab10/Slc9a3r1/Llgl2/Vamp2/Nkd2/Rab3c",27
"GO:0031526","CC","GO:0031526","brush border membrane","29/3047","73/15222",8.41662882954584e-05,8.41662882954584e-05,0.00867272691070801,"Gna12/Pemt/Car4/Mfsd10/Slc26a3/Slc19a1/Folr1/Cd36/Pex19/Aqp1/Slc34a3/Slc5a6/Slc5a1/Cltrn/Ace2/Slc22a5/Pcmt1/Slc5a8/Npc1l1/Gna13/Slc26a4/Ace/Slc9a3r1/Pld2/Slc46a1/Amn/Slc34a1/Slc28a3/Slc6a19",29
"GO:0010563","BP","GO:0010563","negative regulation of phosphorus metabolic process","113/3047","407/15222",8.68621677938515e-05,8.68621677938515e-05,0.00867928997174609,"Pparg/Pdgfb/Kat2b/Mapk7/Hpn/Akt1/Chordc1/Pwp1/Fbxo7/Tsc2/Tgfb1/Apoe/Prkar2b/Cdkn1b/Ppp5c/Dusp3/Ier3/Bax/Stat3/Dnaja3/Ptpn6/Coro1c/Dgkq/Hspb1/Mlxipl/Mprip/Insr/Pard6a/Tfap4/Apc/Inpp5k/Crkl/Cbfa2t3/Fbln1/Actn3/Slc4a1/Cav1/Arpp19/Bmp7/Dynll1/Nf2/Met/Hyal2/Nprl2/Psen2/Akt1s1/Git1/Acp4/Sh3bp5l/Pten/Chp1/Tsg101/Lrrk1/Sirt2/Cnksr3/Gadd45b/Ager/Prpsap1/Macroh2a1/Dbndd2/Ywhab/Mapt/Akap1/Ncor1/Pip4k2b/Cdk5rap3/Sfrp5/Irf1/Arrb1/Styxl1/Ahr/Fkbp8/Mical1/Tnfaip3/Pkib/Dusp6/Psen1/Igf1/Sirt1/Ddit4/Plek/Ptprb/Grb10/Adora2a/Irak3/Adarb1/Ppp2ca/Hspa4/Rack1/Ube2b/Igfbp3/Xbp1/Ggnbp2/Myocd/Cox11/Rock2/Lpin1/Prkar1a/Fkbp1b/Nf1/Pecam1/Ywhae/Bdkrb2/Ppp4r4/Wars/Trim27/Sema4d/Gadd45g/Drd1/Lpcat1/Ocln/Hmgcr/Pde4d",113
"GO:0045936","BP","GO:0045936","negative regulation of phosphate metabolic process","113/3047","407/15222",8.68621677938515e-05,8.68621677938515e-05,0.00867928997174609,"Pparg/Pdgfb/Kat2b/Mapk7/Hpn/Akt1/Chordc1/Pwp1/Fbxo7/Tsc2/Tgfb1/Apoe/Prkar2b/Cdkn1b/Ppp5c/Dusp3/Ier3/Bax/Stat3/Dnaja3/Ptpn6/Coro1c/Dgkq/Hspb1/Mlxipl/Mprip/Insr/Pard6a/Tfap4/Apc/Inpp5k/Crkl/Cbfa2t3/Fbln1/Actn3/Slc4a1/Cav1/Arpp19/Bmp7/Dynll1/Nf2/Met/Hyal2/Nprl2/Psen2/Akt1s1/Git1/Acp4/Sh3bp5l/Pten/Chp1/Tsg101/Lrrk1/Sirt2/Cnksr3/Gadd45b/Ager/Prpsap1/Macroh2a1/Dbndd2/Ywhab/Mapt/Akap1/Ncor1/Pip4k2b/Cdk5rap3/Sfrp5/Irf1/Arrb1/Styxl1/Ahr/Fkbp8/Mical1/Tnfaip3/Pkib/Dusp6/Psen1/Igf1/Sirt1/Ddit4/Plek/Ptprb/Grb10/Adora2a/Irak3/Adarb1/Ppp2ca/Hspa4/Rack1/Ube2b/Igfbp3/Xbp1/Ggnbp2/Myocd/Cox11/Rock2/Lpin1/Prkar1a/Fkbp1b/Nf1/Pecam1/Ywhae/Bdkrb2/Ppp4r4/Wars/Trim27/Sema4d/Gadd45g/Drd1/Lpcat1/Ocln/Hmgcr/Pde4d",113
"GO:1904659","BP","GO:1904659","glucose transmembrane transport","37/3047","102/15222",9.63888041705267e-05,9.63888041705267e-05,0.00910959144130511,"Ins2/Hk2/Akt1/Braf/Tsc2/Slc2a3/Akt2/Sh2b2/Slc1a2/Slc2a9/Insr/Inpp5k/Met/Slc5a1/Pea15a/Clip3/Yes1/Nfe2l2/Erbb3/Slc2a4/Aoc3/Esr1/Ahi1/Igf1/Grb10/Osbpl8/Slc5a4b/Appl2/Rps6kb1/Stxbp4/Ace/Gh/Edn1/Drd1/Rasa1/Tert/Ocln",37
"GO:0010035","BP","GO:0010035","response to inorganic substance","116/3047","421/15222",9.94764101385213e-05,9.94764101385213e-05,0.00910959144130511,"Glra1/Cdh1/Lck/Pparg/Hnrnpd/Haao/Fmr1/Mapk7/Calm1/Akr1b3/Akt1/Tcirg1/Fbxo7/Stat6/Daxx/Braf/Mien1/Axl/Shh/Cd36/Cdkn1b/Ppp5c/Ncstn/Fosb/Cp/Nqo1/Psap/Pax2/Pde1c/Mcoln1/Aqp1/Mapk13/Rasa4/Syt5/Prdx2/Slc1a3/Hmox1/Cyp2a5/Mef2c/Slc30a4/P2rx5/Trap1/Epor/Crip1/Atp7b/Slc4a1/Hfe/Cyp27b1/Sod2/Homer1/Cav1/Trpm2/Mpo/Met/Ppp2cb/Rnf112/Plcd1/Slc5a1/Slc41a1/Nol3/Slc25a13/Gdi1/Endog/Nfe2l2/Fnta/Mmp9/Crk/Glrx2/Mapt/Kdm6b/Pcgf2/Glra2/Mb/Alox15/Calm3/Krt10/Hdac2/Lrp11/Fyn/Tnfaip3/Sirt1/Egfr/Avpr1a/Kcnmb1/Ppp2ca/Mapk9/Rack1/Nefh/Pgam2/Gria1/Id2/Aanat/Slc13a5/Pld2/Cacna1g/Dlg4/Ngb/Mnat1/Fbln5/Lgmn/Net1/Fos/Mtr/Ryr2/Gpld1/Tfap2a/Edn1/Ripk1/Fancc/Ptch1/Slc34a1/Pdcd6/Glrx/Slc30a5/Crhbp/Dhfr",116
"GO:0005667","CC","GO:0005667","transcription regulator complex","112/3047","404/15222",9.94935284612424e-05,9.94935284612424e-05,0.00910959144130511,"Tbx2/Tfe3/Dazap2/Pparg/Sox9/C1d/Tcf7/Sp1/Rarg/Nkx2-1/Pax9/Gtf2h4/Nr1h3/Spi1/Tead3/Gtf2f1/Med6/Med25/Relb/Klf4/Etv3/Taf6l/Nfat5/Stat3/Pax2/Wwox/Hdac9/Pax3/Hdgf/Chd5/Klf5/Mlxipl/Trim28/Tfap4/Rfx5/Gata6/Sra1/Snf8/Med8/Rbm14/Snai3/Gtf2h1/Pknox1/Ctnnb1/Twist2/Spib/Tle1/Hdac5/Ascl2/Myod1/Cbx5/Taf7l/Tfcp2/Hyal2/Brf1/Pax5/Glis2/Tbp/E2f4/Gata2/Atf6b/Hivep2/Arnt/Arnt2/Nfe2l2/Rxrg/Rxra/E2f3/Rbpjl/Hnf4g/Tbx5/Ywhab/Chd3/Ncor1/Tbx3/Ikzf1/Aatf/Lhx1/E2f2/Ahr/Hdac2/Hey2/Gtf3c6/Med23/Ascl1/Meis1/Tcf3/E2f7/Nfyb/Hnrnpab/Med7/Ascc2/Myocd/Lpin1/Hnf1b/Psmc5/Med31/Kat2a/Gtf2a1/Six6/Mnat1/Hif1a/Snapc1/Mta1/Fos/Yy1/Gli3/Tfap2a/Mxd3/Smad5/Ccnh/Gtf2h2",112
"GO:0004879","MF","GO:0004879","nuclear receptor activity","22/3047","50/15222",0.000100618338475314,0.000100618338475314,0.00910959144130511,"Pparg/Rarg/Nr1h3/Ppard/Nr2f6/Stat3/Nr1i3/Nr2c2/Nr2c1/Arnt/Rxrg/Rxra/Rarb/Hnf4g/Ahr/Esr1/Nr2e1/Srebf1/Nr1d1/Esr2/Esrrb/Ahrr",22
"GO:0098531","MF","GO:0098531","ligand-activated transcription factor activity","22/3047","50/15222",0.000100618338475314,0.000100618338475314,0.00910959144130511,"Pparg/Rarg/Nr1h3/Ppard/Nr2f6/Stat3/Nr1i3/Nr2c2/Nr2c1/Arnt/Rxrg/Rxra/Rarb/Hnf4g/Ahr/Esr1/Nr2e1/Srebf1/Nr1d1/Esr2/Esrrb/Ahrr",22
"GO:0006839","BP","GO:0006839","mitochondrial transport","60/3047","190/15222",0.000100932824010524,0.000100932824010524,0.00910959144130511,"Atp5pb/Dynlt1c/Hk2/Spg7/Hip1r/Oxa1l/Akt1/Fbxo7/Bcap31/Bbc3/Alkbh7/Timm44/Tomm40/Atp5d/Timm50/Slc25a1/Ier3/Bax/Stat3/Bid/Slc25a18/4930550C14Rik/Letm1/Slc1a3/Tomm40l/Kif5b/Cnp/Hspa1l/Bcl2l1/Mcu/Psen2/Slc25a41/Timm23/Pam16/Nol3/Slc25a13/Atp5e/Slc25a5/Rhot1/Eya2/Tomm34/Fis1/Slc25a22/Hebp2/Psen1/Micu1/Timm13/Hspa4/Vdac1/Pnpt1/Srebf1/Timm22/Tomm20l/Timm9/Slc25a29/Hsp90aa1/Mrs2/Tmem14c/Mcur1/Sfxn1",60
"GO:0006753","BP","GO:0006753","nucleoside phosphate metabolic process","111/3047","400/15222",0.000102159726593671,0.000102159726593671,0.00910959144130511,"Gnai3/Dlat/Gmpr/Atp5pb/Hk2/Haao/Il4/Coasy/Gmpr2/Uck1/Tgfb1/Nudt14/Atp5d/Sult2b1/Impdh1/Ier3/Crot/Gcdh/Stat3/Eno2/Rab23/Map2k1/Nmrk2/Mlxipl/Insr/Adcy9/Cs/Ampd3/Atp5g1/Cbfa2t3/Epha2/Actn3/Pdk1/Mvd/Prkag3/Slc4a1/Aprt/Cnp/Bcl2l1/Rhoa/Tafazzin/Pdhx/Adssl1/Pgam1/Git1/Cad/Dguok/Entpd2/Slc25a13/Prpsap1/Ncf1/Adss/Atp5e/Nt5c3b/Acot8/Aldoc/Cacnb4/Pipox/Ada/Adora2b/Ncor1/Atp5g3/Acsl1/Pank3/Pdk4/Smpdl3a/Psen1/Enpp3/Nudt4/Igf1/Hkdc1/Ddit4/Dip2a/Hint1/Pfkl/Acsl6/Upp1/Adcy1/Guk1/Ogdh/Pgam2/Prpsap2/Acaca/Shmt1/Nampt/Nt5c1b/Cmpk2/Rrm2/Adcy3/Dld/Nt5c/Galk1/Nos2/Nme2/Gucy2e/Pfas/Acly/Dcakd/Mthfd1/Hif1a/Pfkp/Acot2/Acot3/Entpd5/Esrrb/Prxl2c/Adcy2/Acot12/Mccc2/Hmgcr/Pde4d",111
"GO:0045428","BP","GO:0045428","regulation of nitric oxide biosynthetic process","25/3047","60/15222",0.000102930097976322,0.000102930097976322,0.00910959144130511,"Itgb2/Oprm1/Il4/Acp5/Akt1/Rac1/Cd36/Klf4/Akt2/Insr/Mmp8/Trpv1/Epor/Sod2/Ddah2/Cav1/Khsrp/Dynll1/H2-M3/Cd34/Esr1/Igf1/Mapk9/Rock2/Hsp90aa1",25
"GO:0055086","BP","GO:0055086","nucleobase-containing small molecule metabolic process","122/3047","447/15222",0.00010360070074908,0.00010360070074908,0.00910959144130511,"Gnai3/Dlat/Gmpr/Pemt/Atp5pb/Hk2/Haao/Il4/Coasy/Ugp2/Gmpr2/Uck1/Tgfb1/Gnmt/Nudt14/Atp5d/Sult2b1/Impdh1/Ier3/Crot/Gcdh/Stat3/Eno2/Rab23/Map2k1/Nmrk2/Mlxipl/Insr/Adcy9/Cs/Ampd3/Atp5g1/Cbfa2t3/Epha2/Actn3/Pdk1/Mvd/Prkag3/Slc4a1/Aprt/Cnp/Bcl2l1/Rhoa/Tafazzin/Pdhx/Adssl1/Pgam1/Git1/B4galnt2/Cad/Dguok/Entpd2/Slc25a13/Prpsap1/Ncf1/Adss/Atp5e/Cmah/Nt5c3b/Acot8/Aldoc/Cacnb4/Pipox/Ada/Adora2b/Ncor1/Atp5g3/Acsl1/Pank3/Pdk4/Pcmt1/Smpdl3a/Psen1/Enpp3/Nudt4/Igf1/Hkdc1/Ddit4/Gamt/Dip2a/Hint1/Pfkl/Acsl6/Mgat1/Gfpt2/Upp1/Adcy1/Guk1/Ogdh/Pgam2/Prpsap2/Acaca/Shmt1/Nampt/Nt5c1b/Cmpk2/Rrm2/Adcy3/Dld/Nt5c/Galk1/Nos2/Nme2/Gucy2e/Pfas/Acly/Dcakd/Mthfd1/Fut8/Hif1a/Pfkp/Acot2/Acot3/Entpd5/Aldh6a1/Esrrb/Prxl2c/Adcy2/Acot12/Mccc2/Hmgcr/Pde4d",122
"GO:0044389","MF","GO:0044389","ubiquitin-like protein ligase binding","85/3047","292/15222",0.000113858005354841,0.000113858005354841,0.00978706872477187,"Ngfr/Axin2/Slc22a18/Dbt/Dlg3/Ckb/Ube2c/Smg5/Tubb5/Fbxo7/Daxx/Snx9/Hltf/Prkar2b/Calr/Fancl/Ikbkg/Cul3/Bid/Ralb/Pias4/Prkacb/Jkamp/Polr2a/Prkaca/Trim28/Apc/Usp19/Hspa1l/Tgfbr1/Dio2/Ubc/Rala/Myod1/Nedd8/Faf1/Ndufs2/Cacybp/Tsg101/Hspa8/Sqstm1/Ube2a/Slc25a5/Brca1/Nlk/Traf4/Cd40/Crk/Erbb3/Trim37/Gabarap/Cdk5rap3/Arrb1/H13/Ubb/Ube2d1/Egfr/Mdm2/Sumo3/Ube2b/Patz1/Rtn4/Rps27a/Xbp1/Trib2/Smc6/Prkar1a/Rffl/Sumo2/Ube2g1/Ywhae/Per1/Stx8/Nfkbia/Hif1a/Atxn3/Hsp90aa1/Traf3/Ripk1/Syk/Caml/Smad5/Nkd2/Slf1/Ankra2",85
"GO:0006801","BP","GO:0006801","superoxide metabolic process","24/3047","57/15222",0.000115595854390163,0.000115595854390163,0.00978706872477187,"Gnai3/Itgb2/Acp5/Akt1/Tgfb1/Cd36/Nqo1/Prdx2/Cyba/Sod2/Mpo/Cybb/Nfe2l2/Ncf1/Mapt/Aatf/Noxo1/Nos2/Fbln5/Edn1/Syk/Fancc/F2rl1/Dhfr",24
"GO:0034504","BP","GO:0034504","protein localization to nucleus","84/3047","288/15222",0.000115757668396743,0.000115757668396743,0.00978706872477187,"Cav2/Ngfr/Cdh1/Sox9/Kpnb1/Col1a1/Jup/Akt1/Smo/Nup214/Ipo4/Tsc2/Tgfb1/Shh/Prkd1/Cse1l/Cd36/Stk11/Ranbp2/Paf1/Kpna6/Calr/Stat3/Akt2/Phb2/Rab23/Hdgf/Trim28/Tpr/Tek/Tmco6/Nutf2/Bmp7/Nf2/Pttg1ip/Tnpo1/Dmap1/Hyal2/Tbrg1/Tnpo3/Chp1/Glis2/Nolc1/Hspa8/Sqstm1/Utp25/E2f3/Nup50/Pom121l2/Brca1/Cacnb4/Med1/Kpna2/Srsf1/Akap1/Rpain/Ctdnep1/Cdk5rap3/Traf3ip2/Fyn/Cdk1/Psen1/Sirt1/Mdm2/Osbpl8/Appl2/Sumo3/Xpo1/Ppp2ca/Limk2/Eif4enif1/Xbp1/Nf1/Ddx5/Nup85/Ywhae/Nfkbia/Akap5/Gli3/Nup153/Nol8/Syk/Drd1/Tert",84
"GO:0045684","BP","GO:0045684","positive regulation of epidermis development","13/3047","23/15222",0.000121157518841238,0.000121157518841238,0.0100375303372788,"Tmem79/Ppard/Sult2b1/Cyp27b1/Macroh2a1/Etv4/Med1/Krt10/Macroh2a2/Alox8/Prkch/Sfrp4/Ptch1",13
"GO:0008645","BP","GO:0008645","hexose transmembrane transport","37/3047","103/15222",0.000121764134977364,0.000121764134977364,0.0100375303372788,"Ins2/Hk2/Akt1/Braf/Tsc2/Slc2a3/Akt2/Sh2b2/Slc1a2/Slc2a9/Insr/Inpp5k/Met/Slc5a1/Pea15a/Clip3/Yes1/Nfe2l2/Erbb3/Slc2a4/Aoc3/Esr1/Ahi1/Igf1/Grb10/Osbpl8/Slc5a4b/Appl2/Rps6kb1/Stxbp4/Ace/Gh/Edn1/Drd1/Rasa1/Tert/Ocln",37
"GO:0048538","BP","GO:0048538","thymus development","22/3047","51/15222",0.000143755275479441,0.000143755275479441,0.0117040519932255,"Raf1/Aire/Foxn1/Braf/Shh/Tyr/Map2k1/Prdx2/Apc/Ephb3/Crkl/Ctnnb1/Tgfbr1/Tbx1/Psen2/Srf/Gata3/Cacnb4/Ikzf1/Psen1/Myb/Ctc1",22
"GO:0046822","BP","GO:0046822","regulation of nucleocytoplasmic transport","40/3047","115/15222",0.000148189845847135,0.000148189845847135,0.0119179638540732,"Cdh1/Jup/Smo/Nup214/Emd/Supt6/Tgfb1/Akap8l/Shh/Prkd1/Cd36/Ier3/Ppp1cc/Rab23/Prkaca/Trim28/Tpr/Tek/Dmap1/Hyal2/Chp1/Nolc1/Brca1/Akap1/Ppp1r12a/Cdk1/Psen1/Mdm2/Xpo1/Ppp2ca/Xbp1/Dnajc27/Nf1/Ywhae/Akap5/Ppm1a/Nrde2/Gli3/Nup153/Nsun2",40
"GO:0019903","MF","GO:0019903","protein phosphatase binding","53/3047","165/15222",0.000154086134954215,0.000154086134954215,0.0122428615787972,"Fer/Cdh1/Lck/Pparg/Fmr1/Dlg3/Smg5/Jup/Akt1/Stat6/Vrk3/Gtf2f1/Map2k7/Cdkn1b/Stat3/Cacna1b/Ppp1cc/Gab2/Cd33/Insr/Ctnnb1/Met/Kcnq1/Fcrls/Kif3a/Mtmr4/Mapt/Akap1/Styxl1/Snx3/Hsp90b1/Tbk1/Egfr/Cabin1/Ppp2ca/Flt4/Rack1/Pdlim4/Rps6kb1/Cdc27/Pecam1/Cpd/Ywhae/Dlg4/Kat2a/Strn3/Akap5/Traf3/Drd1/Slc6a3/Vcan/Hmgcr/Ap3b1",53
"GO:0010498","BP","GO:0010498","proteasomal protein catabolic process","121/3047","447/15222",0.000160169268658011,0.000160169268658011,0.0125746925832386,"Gna12/Trim25/Fmr1/Rmnd5b/Kctd10/Araf/Fbxo9/Ube2c/Tbx21/Akt1/Bcap31/Psmc3/Clgn/Rmnd5a/Shh/Apoe/Dlgap1/Man1a/Rad23a/Calr/Cul3/Sgta/Jkamp/Ufd1/Ubqln1/Crbn/Prkaca/Psmd4/Psmb4/Cbfa2t3/Cdc20/Hfe/Usp19/Ctnnb1/Psmd2/Cav1/Ubqln4/Derl3/Ube2g2/Ppp2cb/Psen2/Ubxn11/Tmem259/Anapc1/Chfr/Psmb1/Dnajb9/Fbxw5/Sirt2/Rnf5/Psma2/Nfe2l2/Ube2a/Foxred2/Kctd2/Kctd5/Tnfaip1/Ppp2r5c/Uchl5/Pmp22/Psmb6/Smurf2/Gid4/Derl2/Appbp2/Gabarap/Arrb1/H13/Tmem129/Gipc1/Ubb/Rcn3/Ubxn6/Calr3/Psen1/Hsp90b1/Sirt1/Dnajb12/Peli1/Mdm2/Fzr1/Fbxw11/Rhbdf1/Xpo1/Cdc34/Erlec1/Mapk9/Canx/Rack1/Ube2b/Ascc2/Rnf185/Xbp1/Rnf187/Rnft1/Trib2/Ubxn2a/Rnf144a/Cdc27/Tlk2/Rffl/Psmc5/Psmd12/Sumo2/Ube2g1/Fbxl20/Nr1d1/Sel1l/Klhdc2/Nemf/Psma6/Trim9/Mta1/Psmc1/Atxn3/Asb2/Hecw1/Caml/Nkd2/Ercc8/Plk2",121
"GO:0051640","BP","GO:0051640","organelle localization","130/3047","486/15222",0.000163111360889408,0.000163111360889408,0.0125797395716916,"Cav2/Fer/Brat1/Septin1/Adora3/Chmp1a/Il4/Snapin/Kpnb1/Def8/Tcirg1/Fam98a/Spag5/Rab34/Golga2/Ykt6/Rab8a/Stard3nl/Stk11/Rab3b/Bicd1/Ppfia3/Ikbkg/Cul3/Ralb/Tbccd1/Gab2/Stxbp2/Rab11a/Chmp2b/Map2k1/Hmox1/Kit/Bloc1s6/Spo11/Pex1/Cdt1/Cdc42/Kif5b/Hap1/Ctnnb1/Stx1a/Bcl2l1/Syn2/Vps4b/Stx5a/Spire2/Gosr1/Psen2/Plin5/Pten/Chp1/Kif1a/Ankrd53/Fhod1/Gata2/Ptgds/Map2/Rhot1/Birc5/Myo1c/Stard3/Vmp1/Mapt/Myo1b/Adora2b/Slc2a4/Crhr1/Dync1h1/Ndel1/Rab3d/Atp6ap1/Nop9/Ubb/Ltv1/Wasf1/Lin7a/Psen1/Cep290/Ahi1/Stx7/Cep83/Sar1a/Plek/Rab1a/Actr2/Ap3d1/Fbxw11/Xpo1/Tpgs1/Sar1b/Ube2b/Nefh/Myo1g/Limk2/Myo19/Llgl1/Pik3cg/Trappc12/Kif3c/Rab10/Slc9a3r1/Cluh/Pafah1b1/Llgl2/Kif1c/Pld2/Spag9/Tac4/Vamp2/Aurkb/Myh10/Ntn1/Stx8/Kat2a/Rab15/Actr10/Clmn/Hif1a/Pacs2/Esyt2/Trip11/Chga/Tmed10/Kif13a/Syk/Agtpbp1/Pdcd6/Ap3b1/Rab3c",130
"GO:0048639","BP","GO:0048639","positive regulation of developmental growth","61/3047","197/15222",0.000164048638947678,0.000164048638947678,0.0125797395716916,"Tbx2/Wnt3/Cdh4/Bcl11a/Rnd2/Akt1/Smo/Ppard/Apoe/Stat5a/Rab11a/Eif2b2/Crabp2/Zp3/Pex5/Ccn4/Celf1/Igf1r/Insr/Mef2c/Gata6/Atp5g1/Actn3/Myod1/Wnt3a/Cacna2d2/Prox1/Wnt2/Sptbn4/Csf1/Dll1/Gdi1/Srf/Wt1/Tbx5/Mapt/Trpv2/Ikzf1/Ndel1/Zfyve27/Ddx39b/Trip10/Hey2/Cdk1/Igf1/Sirt1/Rtn4/Dbnl/Rps6kb1/Agr2/Itsn2/Gh/Pafah1b1/Ntn1/Stat5b/Tshr/Edn1/Sema4d/Cdk20/Hnrnpk/Slc6a3",61
"GO:1902895","BP","GO:1902895","positive regulation of pri-miRNA transcription by RNA polymerase II","20/3047","45/15222",0.000174360916695143,0.000174360916695143,0.0132168317373874,"Ngfr/Pparg/Pdgfb/Spi1/Tgfb1/Klf4/Stat3/Klf5/Ctcf/Tgfbr1/Mrtfb/Gata2/Srf/Gata3/Wt1/Srebf1/Hif1a/Fos/Prl/Tert",20
"GO:0048839","BP","GO:0048839","inner ear development","57/3047","182/15222",0.000189682122577901,0.000189682122577901,0.0139518392480055,"Cdh1/Ccm2/Sox9/Sec24b/Ift20/Hpn/Naglu/Rac1/Shh/Jag2/Mcm2/Cdkn1b/Dvl3/Insig2/Psap/Pax2/Otx1/Gabrb2/Tcap/Fzd3/Tbx1/Kcnq1/Bcr/Wnt3a/Prox1/Cdh23/Dll1/Oc90/Gata2/Aldh1a3/Gata3/Celsr1/Mapkapk2/Ift27/Sdc4/Abr/Kif3a/Hey2/Lin7a/Ahi1/Igf1/Lrig3/Lgr5/Wdpcp/Slc9a3r1/Pafah1b1/Dvl2/Ntn1/Foxg1/Tshr/Ttc8/Trip11/Esrrb/Gli3/Tfap2a/Ror2/Cxcl14",57
